D:\CAR TRAIN\IMG\center_2019_07_16_22_49_42_875.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_42_875.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_42_875.jpg, 0, 0, 0, 7.801157E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_148.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_148.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_148.jpg, 0, 0, 0, 7.857943E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_273.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_273.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_273.jpg, 0, 0, 0, 7.797385E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_430.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_430.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_430.jpg, 0, 0, 0, 8.126105E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_554.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_554.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_554.jpg, 0, 0, 0, 7.803534E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_716.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_716.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_716.jpg, 0, 0, 0, 8.062649E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_818.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_818.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_818.jpg, 0, 0, 0, 7.825369E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_43_946.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_43_946.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_43_946.jpg, 0, 0, 0, 7.796983E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_44_111.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_44_111.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_44_111.jpg, 0, 0, 0, 7.900598E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_44_217.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_44_217.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_44_217.jpg, 0, 0, 0, 8.174352E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_44_319.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_44_319.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_44_319.jpg, 0, 0, 0, 7.8181E-05
D:\CAR TRAIN\IMG\center_2019_07_16_22_49_44_421.jpg, D:\CAR TRAIN\IMG\left_2019_07_16_22_49_44_421.jpg, D:\CAR TRAIN\IMG\right_2019_07_16_22_49_44_421.jpg, 0, 0, 0, 8.326434E-05
